SKU;GRUPO;FAMILIA;TITULO;COLOR;URL_SKU1
4038422-223;OUTERWEAR;CHAQUETAS;CHAQUETA RECTA TEJIDO FANTASÍA, CAFÉ, CON CAPUCHÓN;CAFÉ;https://liolaweb.cl/223/4038422_1.jpg
4039011-223;PDA;POLERAS;JERSEY TEJIDO, CUELLO RETRO, NEGRO;NEGRO;https://liolaweb.cl/223/4039011_1.jpg
4041422-223;OUTERWEAR;CHAQUETAS;CHAQUETA AVIADOR METALIZADA DOBLE FAZ, CAFÉ;CAFÉ;https://liolaweb.cl/223/4041422_1.jpg
4042011-223;OUTERWEAR;CHAQUETAS;CHAQUETA TIPO BOMBER MATELASSE, NEGRO ;NEGRO;https://liolaweb.cl/223/4042011_1.jpg
4044011-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN EFECTO CUERO CON CAPUCHÓN Y RODÓN DE PIEL, NEGRO;NEGRO;https://liolaweb.cl/223/4044011_1.jpg
4046011-223;PDA;TAPADOS;TAPADO LARGO, MUFLÓN MELANGE, NEGRO;NEGRO;https://liolaweb.cl/223/4046011_1.jpg
4046222-223;PDA;TAPADOS;TAPADO LARGO, MUFLÓN MELANGE, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4046222_1.jpg
4052212-223;PDA;POLERAS;POLERA ESTAMPADO FLOR PRIMAVERA, CRUDO;CRUDO;https://liolaweb.cl/223/4052212_1.jpg
4054211-223;PDA;POLERAS;POLERA ESTAMPADO TEXTO STRASS, BLANCO;BLANCO;https://liolaweb.cl/223/4054211_1.jpg
4055011-223;PDA;BLUSAS;BLUSA CAMISERA ENTALLADA  BOTÓN JOYA, NEGRO;NEGRO;https://liolaweb.cl/223/4055011_1.jpg
4055212-223;PDA;BLUSAS;BLUSA CAMISERA ENTALLADA  BOTÓN JOYA, CRUDO;CRUDO;https://liolaweb.cl/223/4055212_1.jpg
4057321-223;PDA;BLUSAS;BLUSA CAMISERA ESTAMPADO ANIMAL, BLANCO;BLANCO;https://liolaweb.cl/223/4057321_1.jpg
4063011-223;PDA;BLUSAS;BLUSA CAMISERA, CANESÚ FRUNCES, NEGRO;NEGRO;https://liolaweb.cl/223/4063011_1.jpg
4063081-223;PDA;BLUSAS;BLUSA CAMISERA, CANESÚ FRUNCES, VERDE;VERDE;https://liolaweb.cl/223/4063081_1.jpg
4064308-223;PDA;BLUSAS;BLUSA CAMISERA GASA ESTAMPADA LUREX, VERDE;VERDE;https://liolaweb.cl/223/4064308_1.jpg
4065357-223;PDA;BLUSAS;BLUSA CAMISERA ESTAMPADA AMEBA, AZUL;AZUL;https://liolaweb.cl/223/4065357_1.jpg
4066051-223;OUTERWEAR;CHAQUETAS;CHAQUETA CARGO EFECTO GAMUZA, BEIGE;BEIGE;https://liolaweb.cl/223/4066051_1.jpg
4066221-223;OUTERWEAR;CHAQUETAS;CHAQUETA CARGO EFECTO GAMUZA, CAFÉ;CAFÉ;https://liolaweb.cl/223/4066221_1.jpg
4068012-223;PDA;TAPADOS;ABRIGO LARGO SIN MANGAS, MUFLÓN MELANGE GRAFITO;GRAFITO;https://liolaweb.cl/223/4068012_1.jpg
4068405-223;PDA;TAPADOS;ABRIGO LARGO SIN MANGAS, MUFLÓN MELANGE BEIGE;BEIGE;https://liolaweb.cl/223/4068405_1.jpg
4073301-223;PDA;BLUSAS;BLUSA CAMISERA ESTAMPADO ANIMAL, NEGRO;NEGRO;https://liolaweb.cl/223/4073301_1.jpg
4074401-223;PDA;POLERAS;POLERA ENTALLADA, LUREX, NEGRO;NEGRO;https://liolaweb.cl/223/4074401_1.jpg
